TYP; REGELSET; DATEI; PFAD; INFO
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (841); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (842); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (843); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (844); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (845); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (846); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (847); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (848); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (849); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (850); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (851); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (852); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (853); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (854); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (855); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ResearchProjectDefinitions.xml; /*/*/Name (856); Kein Element gefunden in 'Englisch Alt'.
